ecosystem	name	declared	resolved	latest_stable	impact	source
npm	@eslint/js	^9.39.2	9.39.2	10.0.1	E: držet společně s ESLint; nyní doporučeno 9.x kvůli react pluginu.	https://registry.npmjs.org/@eslint/js
npm	@types/node	^25.1.0	25.1.0	26.4.0	T: nepoužít latest26 k runtime22/24; vybrat odpovídající hlavní řadu.	https://registry.npmjs.org/@types/node
npm	eslint	^9.39.2	9.39.2(jiti@2.6.1)	10.9.1	E: latest10 blokuje peer eslint-plugin-react; mezikrok 9.39.5.	https://registry.npmjs.org/eslint
npm	eslint-plugin-react	^7.37.5	7.37.5(eslint@9.39.2(jiti@2.6.1))	7.37.5	E: latest stále7.37.5; nepodporuje ESLint10, nenutit override.	https://registry.npmjs.org/eslint-plugin-react
npm	eslint-plugin-react-hooks	^7.0.1	7.0.1(eslint@9.39.2(jiti@2.6.1))	7.1.1	E: nové kontroly hooků/Compileru; opravit diagnostiku, nevypínat plošně.	https://registry.npmjs.org/eslint-plugin-react-hooks
npm	eslint-plugin-unused-imports	^4.3.0	4.3.0(@typescript-eslint/eslint-plugin@8.54.0(@typescript-eslint/parser@8.54.0(eslint@9.39.2(jiti@2.6.1))(typescript@5.9.3))(eslint@9.39.2(jiti@2.6.1))(typescript@5.9.3))(eslint@9.39.2(jiti@2.6.1))	4.4.1	E: sladit parser a ESLint peer.	https://registry.npmjs.org/eslint-plugin-unused-imports
npm	prettier	^3.8.1	3.8.1	3.9.6	Nízké runtime riziko; formátovací diff dělit od funkčních změn.	https://registry.npmjs.org/prettier
npm	turbo	^2.8.0	2.8.0	2.10.12	P: minor2; zkontrolovat definované tasks, root typecheck nyní nefunguje.	https://registry.npmjs.org/turbo
npm	typescript	^5.9.3; ~5.9.3	5.9.3	7.0.2	T: latest7 není drop-in; typescript-eslint latest vyžaduje <6.1, použít6.x nebo odložit7.	https://registry.npmjs.org/typescript
npm	typescript-eslint	^8.54.0	8.54.0(eslint@9.39.2(jiti@2.6.1))(typescript@5.9.3)	8.69.0	T/E: latest8.69 podporuje TS<6.1, ESLint8/9/10; TypeScript7 odmítá peer.	https://registry.npmjs.org/typescript-eslint
npm	@base-ui/react	^1.1.0	1.1.0(@types/react@19.2.10)(react-dom@19.2.4(react@19.2.4))(react@19.2.4)	1.7.0	U: minor1; vlastní select/dialog/popover wrappers, focus trap/ref.	https://registry.npmjs.org/@base-ui/react
